#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 09 17 03 50 190  1.0  2.0   1.3    10   8.4 170 1023.3  21.2  21.5  19.8   MM +0.0    MM
2018 09 17 02 50 180  1.0  2.0   1.3    11   8.8 166 1023.4  21.2  21.6  20.1   MM +0.5    MM
2018 09 17 01 50  MM  0.0  1.0   1.3    10   8.8 180 1023.3  21.3  21.6  19.9   MM +0.4    MM
2018 09 17 00 50  MM  0.0  2.0   1.3    11   8.8 179 1023.3  21.4  21.5  20.0   MM +0.4    MM
2018 09 16 23 50 200  2.0  3.0   1.4    11   9.4 175 1022.9  21.5  21.6  19.9   MM +0.0    MM
2018 09 16 22 50 170   MM   MM   1.3    11   8.7 163 1022.9  21.8  21.9  19.7   MM +0.0    MM
2018 09 16 21 50 170   MM   MM   1.1    11   8.4 137 1022.9  22.3  22.2  19.3   MM -0.4    MM
2018 09 16 20 50 200  1.0  2.0   1.2    11   8.5 157 1022.9  22.4  22.4  19.6   MM -0.5    MM
2018 09 16 19 50 170   MM   MM   1.2    11   8.3 123 1022.9  22.4  22.6  19.3   MM -0.8    MM
2018 09 16 18 50 170   MM   MM   1.2    12   8.3 108 1023.3  21.7  22.8  19.9   MM -0.6    MM
2018 09 16 17 50 170   MM   MM   1.1    11   8.1 141 1023.4  21.2  22.5  19.7   MM -0.7    MM
2018 09 16 16 50 170   MM   MM   1.2    14   8.3 101 1023.7  20.5  21.8  20.0   MM -0.3    MM
2018 09 16 15 50 170   MM   MM   1.2    13   8.2 111 1023.9  21.1  21.4  19.2   MM +0.3    MM
2018 09 16 14 50 170   MM   MM   1.0    14   7.6 121 1024.1  21.2  21.3  19.3   MM +0.7    MM
2018 09 16 13 50 170   MM   MM   1.1    13   7.8 121 1024.0  21.8  20.9  19.7   MM +0.9    MM
2018 09 16 12 50 170   MM   MM   1.0    12   7.6 127 1023.6  21.2  20.7  19.2   MM +0.8    MM
2018 09 16 11 50 170   MM   MM   1.1    13   7.5 169 1023.4  20.9  20.6  19.5   MM +0.8    MM
2018 09 16 10 50 170   MM   MM   1.0    12   7.7 159 1023.1  19.9  20.6  19.1   MM +0.7    MM
2018 09 16 09 50 170   MM   MM   1.1    13   7.4 143 1022.8  19.8  20.6  19.0   MM +0.3    MM
2018 09 16 08 50 170   MM   MM   1.0    13   7.4 143 1022.6  19.8  20.6  19.0   MM +0.0    MM
2018 09 16 07 50 170   MM   MM   1.0     8   7.4 166 1022.4  19.9  20.6  19.1   MM -0.3    MM
2018 09 16 06 50 170   MM   MM   1.1     8   7.0 159 1022.5  19.9  20.6  19.0   MM +0.0    MM
2018 09 16 05 50 170   MM   MM   1.1    13   7.4 132 1022.4  19.9  20.6  19.0   MM +0.0    MM
2018 09 16 04 50 170   MM   MM   1.0     9   7.1 164 1022.7  20.0  20.7  19.1   MM +0.0    MM
2018 09 16 03 50 170   MM   MM   1.0     8   7.0 194 1022.6  20.1  20.7  19.2   MM +0.0    MM
2018 09 16 02 50 170   MM   MM   1.0     9   6.8 179 1022.6  20.2  20.7  19.3   MM +0.0    MM
2018 09 16 01 50 170   MM   MM   1.0     9   6.8 169 1022.6  20.3  20.7  19.0   MM +0.0    MM
2018 09 16 00 50  MM  0.0  1.0   1.0     9   6.5 186 1022.8  20.3  20.8  18.8   MM +0.0    MM
2018 09 15 23 50  MM  0.0  1.0   1.0     8   6.5 194 1022.6  20.3  20.9  18.8   MM +0.0    MM
2018 09 15 22 50  MM  0.0  1.0   1.0    10   6.6 166 1022.5  20.3  21.0  18.8   MM +0.0    MM
2018 09 15 21 50 140  1.0  2.0   1.1     8   6.5 189 1022.6  20.4  21.0  18.3   MM +0.0    MM
2018 09 15 20 50 120  1.0  2.0   1.2     8   6.8 179 1022.6  20.4  21.2  18.6   MM +0.0    MM
2018 09 15 19 50  80  1.0  2.0   1.1     8   6.6 191 1022.7  20.4  21.1  18.6   MM -0.4    MM
2018 09 15 18 50  70  1.0  2.0   1.2     8   6.9 165 1022.8  20.2  20.8  18.7   MM -0.5    MM
2018 09 15 17 50  80  1.0  2.0   1.1     8   6.3 160 1022.8  20.0  20.9  18.2   MM -0.7    MM
2018 09 15 16 50  70  1.0  2.0   1.1     8   6.2 158 1023.1  20.0  20.8  17.8   MM -0.3    MM
2018 09 15 15 50  80  2.0  3.0   1.2     8   6.1 159 1023.3  19.8  20.7  18.0   MM +0.0    MM
